COD_IST_CONV;ABI_IST;ISTITUTO                                                                ;STATO
001         ;05387  ;BANCA POPOLARE DELL'EMILIA ROMAGNA                                      ;A
002         ;05228  ;BANCA POPOLARE DI CREMA                                                 ;A
003         ;05164  ;BANCA POPOLARE DI LODI                                                  ;A
004         ;03083  ;BANCA IDEA                                                              ;A
005         ;05640  ;BANCA POPOLARE DI RAVENNA                                               ;A
006         ;05024  ;BANCA AGRICOLA MANTOVANA                                                ;A
007         ;05496  ;BANCA POPOLARE DI CORTONA                                               ;A
008         ;05040  ;BANCA ANTONIANA POPOLARE VENETA                                         ;A
009         ;05728  ;BANCA POPOLARE DI VICENZA                                               ;A
010         ;05048  ;BANCA POPOLARE COMMERCIO E INDUSTRIA                                    ;A
011         ;05512  ;BANCA POPOLARE DI CREMONA                                               ;A
012         ;05460  ;BANCA POPOLARE DELLA PROV DI TREVISO                                    ;A
013         ;05696  ;BANCA POPOLARE DI SONDRIO                                               ;A
014         ;05188  ;BANCO POPOLARE DI VERONA E NOVARA                                       ;A
015         ;05572  ;BANCA POPOLARE DI MAROSTICA                                             ;A
016         ;05652  ;BANCA POPOLARE DI SAN FELICE SUL PANARO                                 ;A
017         ;05408  ;BANCA POPOLARE DI ABBIATEGRASSO                                         ;A
018         ;05060  ;BANCA COOPERATIVA CATTOLICA                                             ;A
019         ;05104  ;BANCA POPOLARE DEL LAZIO                                                ;A
020         ;05308  ;BANCA POPOLARE DI ANCONA                                                ;A
021         ;05414  ;BANCA POPOLARE DI APRILIA                                               ;A
023         ;05556  ;BANCA POPOLARE DI LUINO E DI VARESE                                     ;A
024         ;05156  ;BANCA DI PIACENZA                                                       ;A
025         ;05792  ;BANCA POPOLARE VALCONCA                                                 ;A
026         ;03488  ;CASSA LOMBARDA                                                          ;A
027         ;05296  ;BANCA POPOLARE DI FONDI                                                 ;A
028         ;07535  ;BANCA DEL MONTE DI FOGGIA                                               ;E
029         ;05856  ;BANCA POPOLARE DELL'ALTO ADIGE                                          ;A
030         ;05116  ;BANCA COOPERATIVA VALSABBINA                                            ;A
031         ;05418  ;VENETO BANCA                                                            ;A
032         ;05144  ;COOPERBANCA                                                             ;A
033         ;05700  ;BANCA POPOLARE DI RIETI                                                 ;A
034         ;05360  ;BANCA POPOLARE UDINESE                                                  ;A
035         ;03067  ;BANCA CARIME                                                            ;A
036         ;05336  ;BANCA POPOLARE FRIULADRIA - PORDENONE                                   ;A
037         ;08562  ;BANCA DI CREDITO COOPERATIVO DI FORNACETTE                              ;A
038         ;05664  ;BANCA POPOLARE DAUNA                                                    ;A
039         ;05420  ;BANCA POPOLARE DI AUGUSTA                                               ;A
040         ;05141  ;BANCA DI CREDITO POPOLARE - SIRACUSA                                    ;A
041         ;05772  ;BANCA POPOLARE S. ANGELO                                                ;A
042         ;05544  ;BANCA POPOLARE JONICA                                                   ;A
043         ;05180  ;BANCA POPOLARE  DI BRONTE                                               ;A
044         ;05550  ;BANCA POPOLARE DI LANCIANO E SULMONA                                    ;A
045         ;05776  ;BANCA POPOLARE SANTA VENERA                                             ;A
046         ;05142  ;BANCA DI CREDITO POPOLARE - TORRE DEL GRECO                             ;A
047         ;05200  ;BANCA POPOLARE DI BELPASSO                                              ;A
048         ;05232  ;BANCA POPOLARE DI LAJATICO                                              ;A
049         ;05618  ;BANCA POPOLARE DI TRIESTE                                               ;A
050         ;05398  ;BANCA POPOLARE DEL MATERANO                                             ;A
051         ;05036  ;BANCA AGRICOLA POPOLARE DI RAGUSA                                       ;A
052         ;05161  ;BANCA POPOLARE DELLA PROVINCIA DI BELLUNO                               ;A
053         ;05256  ;BANCA POPOLARE COOPERATIVA DI CROTONE                                   ;E
054         ;05009  ;BANCA BIPIELLE ROMAGNA                                                  ;A
055         ;05392  ;BANCA DELLA CAMPANIA SPA                                                ;A
056         ;08461  ;BANCA DI CREDITO COOPERATIVO DI CASTAGNETO CARDUCCI                     ;A
058         ;06365  ;BANCA CRV CASSA DI RISPARMIO DI VIGNOLA                                 ;A
059         ;05262  ;BANCA POPOLARE PUGLIESE                                                 ;A
060         ;05372  ;BANCA POPOLARE DEL CASSINATE                                            ;A
061         ;05132  ;BANCA NUOVA                                                             ;A
062         ;08592  ;BANCA DI CREDITO COOPERATIVO DI INZAGO                                  ;A
063         ;05248  ;BANCA NUOVA                                                             ;A
064         ;03149  ;BANCO EMILIANO ROMAGNOLO                                                ;A
065         ;03019  ;BANCA REGIONALE SANT'ANGELO                                             ;A
066         ;05602  ;BANCA POPOLARE VESUVIANA - SAN GIUSEPPE VESUVIANO -NA-                  ;A
068         ;       ;SYSTEMA S.P.A. SUBAG.ARCA DIRECT                                        ;A
073         ;01015  ;BANCA DI SARDEGNA                                                       ;A
075         ;05676  ;BANCA DI SASSARI                                                        ;A
077         ;       ;OMEGA SIM SPA IN LIQUIDAZIONE                                           ;A
078         ;       ;CARIFERMO-CASSA DI RISPARMIO DI FERMO SP                                ;A
082         ;03190  ;EUROBANCA DEL TRENTINO SPA                                              ;A
097         ;       ;JANUA BETA                                                              ;A
098         ;       ;JANUA BROKER                                                            ;A
099         ;       ;ARCA VITA                                                               ;A
100         ;06305  ;BANCA CASSA DI RISPARMIO DI SAVIGLIANO                                  ;A
110         ;05256  ;BANCA POPOLARE DEL MEZZOGIORNO                                          ;A
111         ;06040  ;CASSA DI RISPARMIO DELL'AQUILA                                          ;A
120         ;06295  ;CASSA DI RISPARMIO DI SALUZZO                                           ;A
230         ;06115  ;BANCA CR CENTO                                                          ;A
088         ;08425  ;BANCA CAMBIANO 1884 SPA                                                 ;A
153         ;08986  ;ROVIGOBANCA CREDITO COOPERATIVO                                         ;A
300         ;03084  ;BANCA PONTI                                                             ;A
101         ;06095  ;CASSA DI RISPARMIO DI BRA                                               ;A
127         ;00538  ;BLU BANCA                                                               ;A
102         ;06170  ;BANCA DI FOSSANO                                                        ;A
